station,line,lat,lon,hour,classic_count,thermal_count,lost_count,reduction_pct
왕십리역,2호선/수분당/중앙,37.5613,127.0377,7,1470,998,472,32.1
왕십리역,2호선/수분당/중앙,37.5613,127.0377,10,1470,998,472,32.1
왕십리역,2호선/수분당/중앙,37.5613,127.0377,13,1470,806,664,45.2
왕십리역,2호선/수분당/중앙,37.5613,127.0377,16,1470,806,664,45.2
행당역,5호선,37.5572,127.0305,7,1123,632,491,43.7
행당역,5호선,37.5572,127.0305,10,1123,617,506,45.1
행당역,5호선,37.5572,127.0305,13,1123,494,629,56.0
행당역,5호선,37.5572,127.0305,16,1123,494,629,56.0
응봉역,경의중앙선,37.552,127.0353,7,891,443,448,50.3
응봉역,경의중앙선,37.552,127.0353,10,891,392,499,56.0
응봉역,경의중앙선,37.552,127.0353,13,891,355,536,60.2
응봉역,경의중앙선,37.552,127.0353,16,891,355,536,60.2
뚝섬역,2호선,37.547,127.0475,7,753,426,327,43.4
뚝섬역,2호선,37.547,127.0475,10,753,426,327,43.4
뚝섬역,2호선,37.547,127.0475,13,753,331,422,56.0
뚝섬역,2호선,37.547,127.0475,16,753,333,420,55.8
성수역,2호선,37.5447,127.0561,7,644,358,286,44.4
성수역,2호선,37.5447,127.0561,10,644,358,286,44.4
성수역,2호선,37.5447,127.0561,13,644,296,348,54.0
성수역,2호선,37.5447,127.0561,16,644,296,348,54.0
서울숲역,수인분당선,37.5446,127.0448,7,736,510,226,30.7
서울숲역,수인분당선,37.5446,127.0448,10,736,509,227,30.8
서울숲역,수인분당선,37.5446,127.0448,13,736,432,304,41.3
서울숲역,수인분당선,37.5446,127.0448,16,736,437,299,40.6
옥수역,3호선/중앙선,37.5402,127.0171,7,205,120,85,41.5
옥수역,3호선/중앙선,37.5402,127.0171,10,205,120,85,41.5
옥수역,3호선/중앙선,37.5402,127.0171,13,205,101,104,50.7
옥수역,3호선/중앙선,37.5402,127.0171,16,205,101,104,50.7
