집계구코드,residential_pop,lon,lat,n_classic_stops,n_thermal_stops,a_classic,a_thermal,aal,tarr,category
1104052010012,114.7,127.02888923856707,37.56091344278083,292,232,241.3722,190.4836,50.8886,21.08,thermal_robust
1104052010001,13.6,127.02743263000936,37.562785956675654,246,177,192.5032,134.5015,58.0017,30.13,moderate
1104052010003,813.6,127.032537020366,37.562201079953745,280,217,234.7525,181.7458,53.0067,22.58,thermal_robust
1104052010002,837.8,127.02709416292386,37.563843297710655,239,178,185.8899,135.8261,50.0638,26.93,thermal_robust
1104052010005,880.2,127.02746873088816,37.56445672114859,241,187,189.4012,145.46,43.9412,23.2,thermal_robust
1104052010004,602.1,127.0258825731047,37.56041802978655,285,0,230.7288,0.0,230.7288,100.0,thermal_prone
1104052010007,516.3,127.029559683564,37.56261075631823,268,214,220.7347,175.2507,45.484,20.61,thermal_robust
1104052010006,1113.1,127.03147940535658,37.562835686736705,276,216,230.5713,179.7565,50.8148,22.04,thermal_robust
1104052010009,220.1,127.03163704001896,37.56105516952331,284,218,238.9822,183.8418,55.1404,23.07,thermal_robust
1104052010008,329.8,127.03023194679544,37.56111961425364,288,221,239.6519,184.6386,55.0133,22.96,thermal_robust
1104052010010,497.1,127.03047924322566,37.561839603361,271,214,225.1215,177.3072,47.8143,21.24,thermal_robust
1104052010011,485.1,127.02954670782688,37.56391046316543,255,208,208.4163,167.2165,41.1998,19.77,thermal_robust
1104052010101,371.4,127.02350252733017,37.55809396431887,293,220,242.0769,179.6976,62.3793,25.77,thermal_robust
1104052010103,475.9,127.02332565312574,37.55865405804703,248,159,192.2058,122.8883,69.3175,36.06,moderate
1104052010102,938.5,127.02335740378118,37.55960206798054,282,197,229.529,157.5913,71.9377,31.34,moderate
1104052010203,1743.8,127.0241929276859,37.5590194026384,248,159,192.2058,122.8883,69.3175,36.06,moderate
1104052010202,3.3,127.02563713474048,37.55923622407253,285,221,231.8438,174.6703,57.1735,24.66,thermal_robust
1104052010205,7.0,127.02657356727606,37.55972821705692,298,239,244.4252,193.2553,51.1699,20.93,thermal_robust
1104052010204,626.4,127.02551559701094,37.55847195609596,296,212,244.2619,173.6242,70.6377,28.92,moderate
1104052010201,686.6,127.02460872648848,37.55840873055128,293,220,242.0769,179.6976,62.3793,25.77,thermal_robust
1104052010401,857.3,127.0255510849931,37.56108293540485,239,172,185.996,132.9406,53.0554,28.53,moderate
1104052010403,430.1,127.02538995579712,37.561965005888005,254,194,200.8391,150.6705,50.1686,24.98,thermal_robust
1104052010402,724.5,127.02628258071444,37.56167605133117,239,172,185.996,132.9406,53.0554,28.53,moderate
1104052010501,813.5,127.02790185758244,37.56134488116058,278,223,225.7638,179.3498,46.414,20.56,thermal_robust
1104052010502,537.2,127.0279146609241,37.56075403706805,296,236,243.5005,192.5811,50.9194,20.91,thermal_robust
1104052010801,12.1,127.02682239768356,37.56308993635441,0,0,0.0,0.0,0.0,0.0,no_access
1104052010901,1010.2,127.02832783191865,37.56230061213213,237,181,183.2454,137.9262,45.3192,24.73,thermal_robust
1104052010903,443.4,127.02895900369948,37.562127641810456,236,179,181.5511,135.8704,45.6807,25.16,thermal_robust
1104052010902,398.8,127.02782235823236,37.56250243901373,236,177,181.1065,134.3161,46.7904,25.84,thermal_robust
1104052011101,824.7,127.02668797263526,37.56078428935383,295,240,240.0883,192.2602,47.8281,19.92,thermal_robust
1104054010001,381.6,127.03767554906788,37.567111792324354,228,168,183.3991,134.6506,48.7485,26.58,thermal_robust
1104054010003,956.1,127.0405833061432,37.5701590023215,166,96,130.6111,74.4892,56.1219,42.97,thermal_prone
1104054010002,761.5,127.04051064471672,37.567758966690576,189,131,152.3275,106.4974,45.8301,30.09,moderate
1104054010004,666.6,127.04519654516947,37.56875815638988,158,112,127.1008,88.4778,38.623,30.39,moderate
