집계구코드,residential_pop,lon,lat,a_classic,a_thermal_h10,a_thermal_h13,a_thermal_h14,aal_h10,tarr_h10,aal_h13,tarr_h13,aal_h14,tarr_h14,category
1104052010012,114.7,127.02888923856707,37.56091344278083,241.3722,241.3722,190.4836,59.9928,0.0,0.0,50.8886,21.08,181.3794,75.15,thermal_robust
1104052010001,13.6,127.02743263000936,37.562785956675654,192.5032,192.5032,134.5015,0.0,0.0,0.0,58.0017,30.13,192.5032,100.0,thermal_prone
1104052010003,813.6,127.032537020366,37.562201079953745,234.7525,234.7525,181.7458,72.0391,0.0,0.0,53.0067,22.58,162.7134,69.31,thermal_robust
1104052010002,837.8,127.02709416292386,37.563843297710655,185.8899,185.8899,135.8261,0.0,0.0,0.0,50.0638,26.93,185.8899,100.0,thermal_prone
1104052010005,880.2,127.02746873088816,37.56445672114859,189.4012,189.4012,145.46,57.5401,0.0,0.0,43.9412,23.2,131.8611,69.62,thermal_robust
1104052010004,602.1,127.0258825731047,37.56041802978655,230.7288,230.7288,0.0,0.0,0.0,0.0,230.7288,100.0,230.7288,100.0,thermal_prone
1104052010007,516.3,127.029559683564,37.56261075631823,220.7347,220.7347,175.2507,0.0,0.0,0.0,45.484,20.61,220.7347,100.0,thermal_prone
1104052010006,1113.1,127.03147940535658,37.562835686736705,230.5713,230.5713,179.7565,70.9165,0.0,0.0,50.8148,22.04,159.6548,69.24,thermal_robust
1104052010009,220.1,127.03163704001896,37.56105516952331,238.9822,238.9822,183.8418,0.0,0.0,0.0,55.1404,23.07,238.9822,100.0,thermal_prone
1104052010008,329.8,127.03023194679544,37.56111961425364,239.6519,239.6519,184.6386,62.6741,0.0,0.0,55.0133,22.96,176.9778,73.85,thermal_robust
1104052010010,497.1,127.03047924322566,37.561839603361,225.1215,225.1215,177.3072,0.0,0.0,0.0,47.8143,21.24,225.1215,100.0,thermal_prone
1104052010011,485.1,127.02954670782688,37.56391046316543,208.4163,208.4163,167.2165,63.21,0.0,0.0,41.1998,19.77,145.2063,69.67,thermal_robust
1104052010101,371.4,127.02350252733017,37.55809396431887,242.0769,242.0769,179.6976,22.7945,0.0,0.0,62.3793,25.77,219.2824,90.58,moderate
1104052010103,475.9,127.02332565312574,37.55865405804703,192.2058,192.2058,122.8883,4.9891,0.0,0.0,69.3175,36.06,187.2167,97.4,moderate
1104052010102,938.5,127.02335740378118,37.55960206798054,229.529,229.529,157.5913,18.0214,0.0,0.0,71.9377,31.34,211.5076,92.15,moderate
1104052010203,1743.8,127.0241929276859,37.5590194026384,192.2058,192.2058,122.8883,4.9891,0.0,0.0,69.3175,36.06,187.2167,97.4,moderate
1104052010202,3.3,127.02563713474048,37.55923622407253,231.8438,231.8438,174.6703,31.5501,0.0,0.0,57.1735,24.66,200.2937,86.39,moderate
1104052010205,7.0,127.02657356727606,37.55972821705692,244.4252,244.4252,193.2553,34.8841,0.0,0.0,51.1699,20.93,209.5411,85.73,moderate
1104052010204,626.4,127.02551559701094,37.55847195609596,244.2619,244.2619,173.6242,44.6358,0.0,0.0,70.6377,28.92,199.6261,81.73,moderate
1104052010201,686.6,127.02460872648848,37.55840873055128,242.0769,242.0769,179.6976,22.7945,0.0,0.0,62.3793,25.77,219.2824,90.58,moderate
1104052010401,857.3,127.0255510849931,37.56108293540485,185.996,185.996,132.9406,21.8058,0.0,0.0,53.0554,28.53,164.1902,88.28,moderate
1104052010403,430.1,127.02538995579712,37.561965005888005,200.8391,200.8391,150.6705,23.6323,0.0,0.0,50.1686,24.98,177.2068,88.23,moderate
1104052010402,724.5,127.02628258071444,37.56167605133117,185.996,185.996,132.9406,21.8058,0.0,0.0,53.0554,28.53,164.1902,88.28,moderate
1104052010501,813.5,127.02790185758244,37.56134488116058,225.7638,225.7638,179.3498,33.6211,0.0,0.0,46.414,20.56,192.1427,85.11,moderate
1104052010502,537.2,127.0279146609241,37.56075403706805,243.5005,243.5005,192.5811,37.2926,0.0,0.0,50.9194,20.91,206.2079,84.68,moderate
1104052010801,12.1,127.02682239768356,37.56308993635441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_access
1104052010901,1010.2,127.02832783191865,37.56230061213213,183.2454,183.2454,137.9262,0.0,0.0,0.0,45.3192,24.73,183.2454,100.0,thermal_prone
1104052010903,443.4,127.02895900369948,37.562127641810456,181.5511,181.5511,135.8704,0.0,0.0,0.0,45.6807,25.16,181.5511,100.0,thermal_prone
1104052010902,398.8,127.02782235823236,37.56250243901373,181.1065,181.1065,134.3161,0.0,0.0,0.0,46.7904,25.84,181.1065,100.0,thermal_prone
1104052011101,824.7,127.02668797263526,37.56078428935383,240.0883,240.0883,192.2602,33.8467,0.0,0.0,47.8281,19.92,206.2416,85.9,moderate
1104054010001,381.6,127.03767554906788,37.567111792324354,183.3991,183.3991,134.6506,0.0,0.0,0.0,48.7485,26.58,183.3991,100.0,thermal_prone
1104054010003,956.1,127.0405833061432,37.5701590023215,130.6111,130.6111,74.4892,0.0,0.0,0.0,56.1219,42.97,130.6111,100.0,thermal_prone
1104054010002,761.5,127.04051064471672,37.567758966690576,152.3275,152.3275,106.4974,0.0,0.0,0.0,45.8301,30.09,152.3275,100.0,thermal_prone
1104054010004,666.6,127.04519654516947,37.56875815638988,127.1008,127.1008,88.4778,1.9973,0.0,0.0,38.623,30.39,125.1035,98.43,moderate
1104054010103,6.3,127.04082151448011,37.565896652789576,166.3753,166.3753,120.9189,35.19,0.0,0.0,45.4564,27.32,131.1853,78.85,thermal_robust
1104054010102,464.9,127.0399319682526,37.56636609351371,171.3545,171.3545,122.0741,35.2273,0.0,0.0,49.2804,28.76,136.1272,79.44,thermal_robust
1104054010101,226.6,127.0394515362438,37.565958365500634,187.7101,187.7101,137.1209,35.2824,0.0,0.0,50.5892,26.95,152.4277,81.2,moderate
1104054010301,679.9,127.03891573453704,37.56677494430081,159.1998,159.1998,118.2697,34.6614,0.0,0.0,40.9301,25.71,124.5384,78.23,thermal_robust
1104054010302,471.7,127.0382434265457,37.5669311940186,183.3991,183.3991,134.6506,0.0,0.0,0.0,48.7485,26.58,183.3991,100.0,thermal_prone
1104054010601,270.6,127.04432216735697,37.56967694996839,122.4273,122.4273,88.8855,2.0,0.0,0.0,33.5418,27.4,120.4273,98.37,moderate
1104054010602,301.4,127.0434581699092,37.56858317842452,135.8524,135.8524,100.4375,1.9958,0.0,0.0,35.4149,26.07,133.8566,98.53,moderate
1104054010701,163.3,127.04302672457888,37.56911774158525,135.8524,135.8524,100.4375,1.9958,0.0,0.0,35.4149,26.07,133.8566,98.53,moderate
1104054010703,374.6,127.04288051099896,37.56957230896986,119.5481,119.5481,1.0,1.0,0.0,0.0,118.5481,99.16,118.5481,99.16,moderate
1104054010702,334.9,127.04177025575082,37.569385604949275,139.4789,139.4789,102.5161,0.0,0.0,0.0,36.9628,26.5,139.4789,100.0,thermal_prone
1104054010705,236.2,127.04238055316527,37.57052713858784,122.2271,122.2271,88.7273,0.0,0.0,0.0,33.4998,27.41,122.2271,100.0,thermal_prone
1104054010704,188.0,127.0437753594574,37.570165266152635,39.3565,39.3565,0.0,0.0,0.0,0.0,39.3565,100.0,39.3565,100.0,thermal_prone
1104054010707,396.2,127.042613418096,37.56885450386474,135.8524,135.8524,100.4375,1.9958,0.0,0.0,35.4149,26.07,133.8566,98.53,moderate
1104054010706,154.3,127.04311310741936,37.57046913835008,119.5481,119.5481,1.0,1.0,0.0,0.0,118.5481,99.16,118.5481,99.16,moderate
