u,v,svf,mean_bld_H,road_W,HW_ratio,canopy_ratio,highway
287287152,8495290882,1.0,0.0,16.0,0.0,0.0,primary
287287152,4081270724,0.9055,7.5,16.0,0.469,0.0,primary
287287152,7838649559,0.2425,24.0,6.0,4.0,0.0,secondary_link
287287152,7838649560,0.1033,57.8,6.0,9.633,0.0,secondary_link
287287152,8952652878,0.5412,24.9,16.0,1.556,0.0,primary
287298869,5498091730,1.0,0.0,3.0,0.0,0.0,footway
287626787,7939459520,1.0,0.0,3.0,0.0,0.0,footway
287718715,2135148770,0.7071,3.0,3.0,1.0,0.0,footway
291714636,3851466447,0.9701,3.0,12.0,0.25,0.0679,secondary
291714636,436838740,0.9701,3.0,12.0,0.25,0.0404,secondary
291714636,291715862,0.8,3.0,4.0,0.75,0.0085,pedestrian
291714636,3851466455,0.8,3.0,4.0,0.75,0.171,pedestrian
295486057,2546485998,0.9363,6.0,16.0,0.375,0.0,primary
295486057,3833114261,0.3881,19.0,8.0,2.375,0.0,primary_link
295486057,2356300135,0.8716,9.0,16.0,0.562,0.0104,primary
295486075,7838649555,1.0,0.0,16.0,0.0,0.0,primary
295486075,7838649547,1.0,0.0,6.0,0.0,0.0,residential
295486075,8496926460,1.0,0.0,16.0,0.0,0.0,primary
295486075,10123284623,1.0,0.0,12.0,0.0,0.0,secondary
295486169,7838649615,1.0,0.0,16.0,0.0,0.0,primary
295486169,4081270724,1.0,0.0,16.0,0.0,0.0,primary
295486169,8952652873,1.0,0.0,16.0,0.0,0.0,primary
295486169,8952652879,1.0,0.0,16.0,0.0,0.0,primary
307939693,8577408735,1.0,0.0,3.0,0.0,0.0,footway
307939693,8577408776,1.0,0.0,3.0,0.0,0.0,footway
307939693,8577408736,1.0,0.0,3.0,0.0,0.0,footway
307939693,8577408769,1.0,0.0,3.0,0.0,0.0,footway
307939694,7984928216,1.0,0.0,3.0,0.0,0.0,footway
307939694,4011204275,1.0,0.0,3.0,0.0,0.0,footway
307939694,4011204272,1.0,0.0,3.0,0.0,0.0,footway
307939694,4011204272,1.0,0.0,3.0,0.0,0.0,footway
357830618,8615050141,0.3714,15.0,6.0,2.5,0.0,residential
357830618,11125409475,0.8288,10.8,16.0,0.675,0.0,primary
357830618,1717110245,0.8,12.0,16.0,0.75,0.0,primary
357873947,9081846694,0.6854,6.4,6.0,1.067,0.0,residential
357873947,4179354725,0.6332,7.3,6.0,1.217,0.0,residential
357873947,9081846690,0.538,7.8,5.0,1.56,0.0,service
414685221,4752138028,1.0,0.0,9.0,0.0,0.0,tertiary
414685221,2551966247,0.6139,15.4,12.0,1.283,0.0105,secondary
414685221,436824983,0.9701,3.0,12.0,0.25,0.0,secondary
414685221,3846107065,0.2249,39.0,9.0,4.333,0.0,tertiary
414685260,9994039383,1.0,0.0,16.0,0.0,0.0,primary
414685260,436821942,0.4586,31.0,16.0,1.938,0.0,primary
414685260,436851624,0.3118,27.4,9.0,3.044,0.0,tertiary
414685260,9994039373,1.0,0.0,9.0,0.0,0.0,tertiary
414685271,8463699875,1.0,0.0,12.0,0.0,0.0386,secondary
414685271,3833147092,0.4472,12.0,6.0,2.0,0.0208,residential
414685271,8489939568,1.0,0.0,12.0,0.0,0.0254,secondary
414685271,5062044532,1.0,0.0,6.0,0.0,0.0735,residential
414685271,8489939574,0.9487,3.0,9.0,0.333,0.0394,tertiary
414685338,2356300091,0.669,10.0,9.0,1.111,0.0,tertiary
414685338,436836481,0.8384,7.8,12.0,0.65,0.0,secondary
414685338,7991371415,0.8575,9.6,16.0,0.6,0.0,primary
414685338,2546485998,0.8989,7.8,16.0,0.487,0.0,primary
414685370,10219642429,1.0,0.0,12.0,0.0,0.0532,secondary
414685370,3928116192,1.0,0.0,12.0,0.0,0.0237,secondary
414685370,3928116189,1.0,0.0,12.0,0.0,0.0396,secondary
414685867,7838649252,1.0,0.0,16.0,0.0,0.0,primary
414685867,7838649267,1.0,0.0,16.0,0.0,0.0,primary
414685867,7838649277,0.9701,3.0,12.0,0.25,0.0,secondary
414685867,7838649253,0.9829,3.0,16.0,0.188,0.0,primary
414685867,7838649279,0.6247,15.0,12.0,1.25,0.0,secondary
414685867,7838649256,1.0,0.0,12.0,0.0,0.0,secondary
414685876,3440245493,0.8944,6.0,12.0,0.5,0.0,secondary
414685876,3440245293,0.7526,10.5,12.0,0.875,0.0,secondary
414685876,3440244893,0.9487,4.0,12.0,0.333,0.0,secondary
414685876,3440245093,1.0,0.0,12.0,0.0,0.0,secondary
414685876,11125409432,1.0,0.0,12.0,0.0,0.0,secondary
436691598,9577014091,0.8206,11.1,16.0,0.694,0.0,primary
436691598,7856245694,0.8716,9.0,16.0,0.562,0.0,primary
436691598,7856245704,0.4472,12.0,6.0,2.0,0.0,residential
