집계구코드,tarr_35c,tarr_38c,tarr_41c
1104052010012,100.0,75.15,0.0
1104052010001,100.0,100.0,0.0
1104052010003,100.0,69.31,0.0
1104052010002,100.0,100.0,0.0
1104052010005,100.0,69.62,0.0
1104052010004,100.0,100.0,0.0
1104052010007,100.0,100.0,0.0
1104052010006,100.0,69.24,0.0
1104052010009,100.0,100.0,0.0
1104052010008,100.0,73.85,0.0
1104052010010,100.0,100.0,0.0
1104052010011,100.0,69.67,0.0
1104052010101,99.59,90.58,0.0
1104052010103,98.96,97.4,0.0
1104052010102,100.0,92.15,0.0
1104052010203,98.96,97.4,0.0
1104052010202,99.57,86.39,0.0
1104052010205,100.0,85.73,0.0
1104052010204,100.0,81.73,0.0
1104052010201,99.59,90.58,0.0
1104052010401,100.0,88.28,0.0
1104052010403,99.5,88.23,0.0
1104052010402,100.0,88.28,0.0
1104052010501,100.0,85.11,0.0
1104052010502,100.0,84.68,0.0
1104052010801,0.0,0.0,0.0
1104052010901,100.0,100.0,0.0
1104052010903,100.0,100.0,0.0
1104052010902,100.0,100.0,0.0
1104052011101,99.58,85.9,0.0
1104054010001,100.0,100.0,0.0
1104054010003,100.0,100.0,0.0
1104054010002,100.0,100.0,0.0
1104054010004,100.0,98.43,0.0
1104054010103,100.0,78.85,0.0
1104054010102,100.0,79.44,0.0
1104054010101,100.0,81.2,0.0
1104054010301,100.0,78.23,0.0
1104054010302,100.0,100.0,0.0
1104054010601,98.37,98.37,0.0
1104054010602,100.0,98.53,0.0
1104054010701,100.0,98.53,0.0
1104054010703,99.16,99.16,0.0
1104054010702,100.0,100.0,0.0
1104054010705,100.0,100.0,0.0
1104054010704,100.0,100.0,0.0
1104054010707,100.0,98.53,0.0
1104054010706,99.16,99.16,0.0
1104054020008,100.0,100.0,0.0
1104054020009,100.0,100.0,0.0
1104054020010,100.0,97.58,0.0
1104054020006,100.0,100.0,0.0
1104054020007,100.0,98.14,0.0
1104054020004,100.0,100.0,0.0
1104054020005,100.0,100.0,0.0
1104054020002,100.0,100.0,0.0
1104054020003,100.0,97.97,0.0
1104054020001,100.0,100.0,0.0
1104054030001,100.0,100.0,0.0
1104054030006,100.0,100.0,0.0
1104054030005,100.0,100.0,0.0
1104054030004,100.0,100.0,0.0
1104054030003,100.0,100.0,0.0
1104054030002,100.0,100.0,0.0
1104054030104,100.0,100.0,0.0
1104054030103,100.0,100.0,0.0
1104054030102,100.0,100.0,0.0
1104054030101,100.0,98.53,0.0
1104054040001,100.0,81.14,0.0
1104054040002,100.0,82.06,0.0
1104054040003,100.0,100.0,0.0
1104054040201,100.0,81.33,0.0
1104054040301,100.0,81.39,0.0
1104054040302,100.0,81.7,0.0
1104054040501,100.0,100.0,0.0
1104054040502,100.0,100.0,0.0
1104055010004,100.0,84.15,0.0
1104055010001,100.0,84.59,0.0
1104055010003,100.0,83.85,0.0
1104055010002,100.0,82.77,0.0
1104055010005,100.0,82.59,0.0
1104055020009,100.0,74.56,0.0
1104055020010,99.44,79.74,0.0
1104055020011,100.0,100.0,0.0
1104055020012,100.0,100.0,0.0
1104055020013,0.0,0.0,0.0
1104055020006,100.0,82.02,0.0
1104055020007,100.0,100.0,0.0
1104055020004,100.0,100.0,0.0
1104055020005,100.0,100.0,0.0
1104055020002,100.0,73.87,0.0
1104055020003,100.0,100.0,0.0
1104055020001,100.0,100.0,0.0
1104055020014,100.0,100.0,0.0
1104055020008,100.0,100.0,0.0
1104055020201,99.27,75.01,0.0
1104055020301,100.0,76.03,0.0
1104055030002,100.0,100.0,0.0
1104055030001,100.0,100.0,0.0
1104055030103,100.0,99.23,0.0
1104055030102,100.0,84.57,0.0
1104055030101,100.0,82.02,0.0
1104056010001,100.0,84.08,0.0
1104056010101,100.0,85.62,0.0
1104056010103,100.0,85.55,0.0
1104056010102,100.0,86.05,0.0
1104056010201,100.0,83.01,0.0
1104056010202,100.0,83.3,0.0
1104056020006,100.0,100.0,0.0
1104056020004,100.0,70.91,0.0
1104056020005,100.0,100.0,0.0
1104056020002,100.0,100.0,0.0
1104056020003,100.0,67.63,0.0
1104056020001,100.0,68.0,0.0
1104056030007,100.0,100.0,0.0
1104056030006,100.0,78.51,0.0
1104056030005,100.0,100.0,0.0
1104056030004,100.0,100.0,0.0
1104056030003,100.0,100.0,0.0
