집계구코드,net_node,classic_stops,thermal_stops,tarr
1104052010012,3833114297,34,27,20.59
1104052010001,3833114607,17,15,11.76
1104052010003,3832951948,48,34,29.17
1104052010002,8494029536,18,17,5.56
1104052010005,3833114691,20,17,15.0
1104052010004,8212501458,17,0,100.0
1104052010007,3833114569,32,28,12.5
1104052010006,3832951952,44,32,27.27
1104052010009,4200543504,53,30,43.4
1104052010008,3833114366,42,30,28.57
1104052010010,3833114432,35,29,17.14
1104052010011,8615050152,30,27,10.0
1104052010101,3833113884,10,10,0.0
1104052010103,436840048,8,0,100.0
1104052010102,436840048,8,0,100.0
1104052010203,3833114092,10,0,100.0
1104052010202,8212501459,20,13,35.0
1104052010205,3833114120,26,20,23.08
1104052010204,4639723022,8,8,0.0
1104052010201,3833113884,10,10,0.0
1104052010401,4634232798,9,7,22.22
1104052010403,3833114426,13,11,15.38
1104052010402,4634232798,9,7,22.22
1104052010501,8493981052,24,20,16.67
1104052010502,3833114280,28,25,10.71
1104052010801,3833114629,19,17,10.53
1104052010901,8493981080,18,17,5.56
1104052010903,8493981097,18,16,11.11
1104052010902,8493981068,17,15,11.76
1104052011101,3833114257,26,21,19.23
1104054010001,3832677068,45,11,75.56
1104054010003,3832677156,25,0,100.0
1104054010002,3832677105,40,0,100.0
1104054010004,4197387949,26,6,76.92
1104054010103,10857081080,47,25,46.81
1104054010102,5253517887,49,25,48.98
1104054010101,10857081045,57,26,54.39
1104054010301,5253517894,44,21,52.27
1104054010302,3832677068,45,11,75.56
1104054010601,3832677140,24,6,75.0
1104054010602,3832677103,33,6,81.82
1104054010701,3832677103,33,6,81.82
1104054010703,9009916688,23,1,95.65
1104054010702,3832677136,33,0,100.0
1104054010705,9009916695,23,0,100.0
1104054010704,2460188209,2,0,100.0
1104054010707,3832677103,33,6,81.82
1104054010706,9009916688,23,1,95.65
1104054020008,3832952868,35,19,45.71
1104054020009,3832677066,47,15,68.09
1104054020010,3832677291,24,13,45.83
1104054020006,3832677058,46,18,60.87
1104054020007,3440267193,42,16,61.9
1104054020004,3832952887,30,11,63.33
1104054020005,3832952872,33,19,42.42
1104054020002,13543245071,47,0,100.0
1104054020003,3832677257,36,15,58.33
1104054020001,3832677099,42,0,100.0
1104054030001,3832903597,56,0,100.0
1104054030006,3832676317,56,0,100.0
1104054030005,3832676320,51,6,88.24
1104054030004,11850302535,34,6,82.35
1104054030003,4197392060,50,23,54.0
1104054030002,3832903347,43,0,100.0
1104054030104,3832676320,51,6,88.24
1104054030103,3832903628,55,0,100.0
1104054030102,3832676320,51,6,88.24
1104054030101,3832676321,37,6,83.78
1104054040001,9083521251,58,31,46.55
1104054040002,3832903321,62,39,37.1
1104054040003,3832903635,64,37,42.19
1104054040201,10857081033,57,26,54.39
1104054040301,3832903120,63,42,33.33
1104054040302,3832903584,60,37,38.33
1104054040501,3832903626,59,0,100.0
1104054040502,3832903611,55,0,100.0
1104055010004,3832902772,68,48,29.41
1104055010001,3833006659,67,41,38.81
1104055010003,3832902822,69,47,31.88
1104055010002,3832903062,68,42,38.24
1104055010005,3832903091,67,42,37.31
1104055020009,6312216134,36,15,58.33
1104055020010,9809027078,50,31,38.0
1104055020011,4632551827,31,0,100.0
1104055020012,3832902845,62,0,100.0
1104055020013,13637818794,28,0,100.0
1104055020006,1979127145,58,41,29.31
1104055020007,3832902804,37,22,40.54
1104055020004,4197387980,42,21,50.0
1104055020005,3832902807,42,0,100.0
1104055020002,4735613805,24,15,37.5
1104055020003,6312216151,42,13,69.05
1104055020001,4197392026,43,0,100.0
1104055020014,3832897142,39,0,100.0
1104055020008,4197392022,41,27,34.15
1104055020201,4244222641,32,19,40.62
1104055020301,3928116185,37,20,45.95
1104055030002,9083521284,51,0,100.0
1104055030001,13551152965,15,0,100.0
1104055030103,9083531581,68,45,33.82
1104055030102,9083521282,55,23,58.18
1104055030101,8332919083,74,45,39.19
1104056010001,9483618374,57,31,45.61
1104056010101,8431787751,63,38,39.68
1104056010103,8431787766,65,36,44.62
1104056010102,8431787733,74,46,37.84
1104056010201,3832676325,58,17,70.69
1104056010202,2858053238,58,23,60.34
1104056020006,3833113907,25,21,16.0
1104056020004,1717109891,63,35,44.44
1104056020005,1717109884,53,34,35.85
1104056020002,3833114087,68,25,63.24
1104056020003,3833114367,55,42,23.64
1104056020001,3833114314,62,47,24.19
1104056030007,3833006465,74,25,66.22
1104056030006,3833006533,74,60,18.92
1104056030005,3833006519,75,59,21.33
1104056030004,9083531541,63,44,30.16
1104056030003,8495308966,66,27,59.09
1104056030002,4674043869,79,44,44.3
1104056030001,9083531539,60,41,31.67
1104056030108,2356306023,45,27,40.0
1104056030107,4636760143,47,21,55.32
1104056030106,4636760130,54,25,53.7
1104056030105,4636760151,54,33,38.89
1104056030104,4636760108,57,28,50.88
1104056030103,4655066614,60,27,55.0
1104056030102,4636760136,41,19,53.66
1104056030101,4636760141,42,19,54.76
1104057010001,3833113924,28,22,21.43
1104057010003,3833114126,36,27,25.0
1104057010002,3833114080,30,25,16.67
